question,summary
MESSAGE: Hantavirus virus if urine and feces are older excrement-5 years better and never clean. Can the virus be transmitted from old excrement and perhaps dry urine that cannot be seen? [Contact],Can hantavirus be spread by old droppings and urine?
"THEME: Laparoscopic splenectomy MESSAGE: Dear Sir / Lady My brother [NAME] is diagnosed with ITP. Your doctor advises laparoscopic splenectomy for him. Can you please send me the detail and cost of this surgery. Your Platletts account is reduced to 12 and your doctors give you Mebthera injection today to increase the Plattlets count. We are fit [LOCALIZATION], [LOCALIZATION]. Please send us an email as soon as possible. Thank you and best regards [NAME]","Where can I find information on laparoscopic splenectomy, including cost?"
"THEME: Central venous catheters - MESSAGE ports: Hello, I was wondering about central venous catheters - ports and how they work. My grandmother takes dialysis treatments and hers blew up a couple of days ago. Both arms swelled immediately. They were asked to do another, but they said it was okay. After another treatment today both arms turned purple. I want to know, if you can tell me, how dangerous is it if they are using the port and blowing? Can you bleed or throw blood clots?",What are the complication of central venous catheters?
THEME: Effective exercise to counteract sarcopenia MESSAGE: I would like information about time and exercises that counteract sarcopenia. Should exercise take place at a particular hour of the day? several times in the day? what types of exercise are most effective to maintain strength as I grow older (now I am 82) and I even thought I would swim daily and do a variety of endurance exercises that I still find I am losing strength and tiring easily.,What is the best exercise regimen for sarcopenia?
ClinicalTrials.gov - Question - specific study. Do you have any more detailed information about pseudocolinesterace deficiency? My son 28 and I 56 have this problem and we both have systemic muscle spasms. cramping contractions. Most seem to be caused by knots or trigger points. I assume this has something to do with this deficiency because it is correct neurotransmissions. Anyway we are looking for relief. Muscle relaxants help a little but the knots do not go away and therefore the pain is still there at a deeper level. Doctors and neurologists have no idea. Thank you. [NAME],Where can I find information on pseudocholinesterase deficiency icluding treatment?
"SUBJECT: nf 1 MESSAGE: Hello, my name is [NAME]. I have nf1 and I have benign tumors on my back and neck. I have also had health problems, and I wondered about a specific thing. I had to do a complete hysterectomy due to endometriosis and large cysts about 5 years ago. Now about 3 weeks ago I had to undergo emergency surgery because my intestines and colon were very entangled and twisted due to scar tissue, I also had endometriosis to, in addition to larger cysts. So now I was hoping you could tell me if everything that could be caused by the nf. I thank you very much for your time.",Are endometriosis and cysts possible complications of NF1?
"THEME: Arthritis in the elderly MESSAGE: Is there anything available, in English or Spanish, about specific physiotherapy for ankle arthritis? Just to know something else. There is a case in my family and it is being followed by both a psychiatrist and a physical therapist. My email is [Contact]. Thank you. [NAME].",Where can I find information on physical therapy for ankle arthritis?
"Re: 16p-13.11 doubling genes. Dear everyone, I am a health professional and recently I have evaluated a 9-year-old child in my caseload whose mother reported that he has been diagnosed with 16p-13.11 doubling genes. I have never met her and when I looked on the Internet I could not find anything coherent. I have been in contact with the pediatrician who used to be in charge of that child, but she is unfortunately in long-term illness. Could you give me any information about this condition with key characteristics please? Is there behavior, coordination, sensory difficulties, etc... that can be associated with her?","Where can I find information on 16p-13.11 duplication, including symptoms?"
"SUBJECT: autonomy and arthritis. MESSAGE: Hello, I have some questions about autonomic disorders combined with arthritis ? My girlfriend has arthritis and autonomic disorder . I am really worried about her and I want to help her , is there any new medicine out there for the treatment of autonomic disorder ? Also her autonomic disorder effects her heart lungs and blood pressure , is this fatal condition ? How long does someone live with this condition ?","Where can I find information on autonomic disorder, including symptoms, treatment, and prognosis?"
"THEME: Ear infection MESSAGE Treatment: I was cleaning my ear with a pointed metal and by mistake it got into my ear and I started to see some blood from my ear, as I have some ear aches and I can be hearing some echo in my ear. I would love to know the best medicine for my ear treatment.",What are the treatments for punctured eardrum?
"Pierre Robins syndrome. Good morning, Just a question for you regarding the above. Is it true to say that this is caused by an abnormal chromozone and is carried by the mother and transferred to the children alone. This is supposed to happen 1 in 4. The male does not carry the jene. I would appreciate your expert information please.",What are the inheritance patterns for pierre robins syndrome?
Theme: Lack of dosage MESSAGE: I missed taking my thyroid medication this morning. I usually take it when I get up and then wait an hour before eating. I ate breakfast and remembered that I had not taken it. How long after breakfast should I wait to take it?,How long should you wait to take thyroid medication after eating?
THEME: Nutrient interaction with MESSAGE drugs: Hello: I am looking for a resource that describes nutrient depletion (vitamin ) resulting from specific medications. I hope you can help. Thank you.,Can medications cause vitamin depletion?
Williams syndrome I would like my daughter to get tested for William syndrome. Could you please tell me where she would go or who would do it in my area? Thank you!!,Where can I get genetic testing for william's syndrome?
Could this be and option or possible fix a deaf ear im deaf in the ear lef i whas born with him and the doctors of my country could not find a reason why im deaf in the left ear im hoping that this could help,What are the treatments for congenital hearing loss?
"THEME: Sensory hearing loss (SNHL) MESSAGE: Hello, my father has lost hearing in an ear, and has since been suffering with a constant ringing in the ear. Are there treatments that can be recommended to resolve this?",What are treatments for ringing in the ears?
"THEME: You need help finding information about the renal ""nodules"". Please help. MESSAGE: You need help finding information. about the renal ""nodules"".",Where can I find information on kidney cysts?
"THEME: Sexual dysfunction MESSAGE: Dear Doctor I am 39 years old male, and in the face of the problem of sexual semen, erection is fine, once my penis stands up and after a few seconds becomes like dead, I also feel that the size has also dropped, I am worried, kindly suggest me a medication for such death I will be very well filled for you. Greetings [NOMBER] [LOCALIZATION]",What are the treatments for erectile dysfunction?
"THEME: MESSAGE OF carbon monoxide: Once you are exposed to carbon monoxide and the source of the leakage is found and resolved (i.e., the source is the furnace and is turned off by the Gas Company), and the air is clear, is it still necessary to have oxygen treatments and/or blood tests, or, to get the levels in your body back to normal afterwards. I understand that there could be long-term effects based on the end of exposure, but if you do not lose consciousness, are the treatments still needed? Should anyone still have oxygen treatment, blood tests, computed tomography, cardiac/pulmonary scans if the problem has been solved and the air is clear? More than 48 hours have passed since exposure.",When are the tests and treatments for carbon monoxide exposure necessary?
"THEME: Surgery for Early Macular Degeneration MESSAGE: On your website, I clicked on driving with Macular Degeneration and in the PDF it says, ""There are surgical procedures that can help if done in the early stages."" Where can I find information about these procedures?",What are the surgical options for early macular degeneration?
"THEME: Loss of muscle function of the left arm MESSAGE: Dear Doctor, I am [NOMBER] of [LOCALIZATION], first of all thank you very much for this article and it is a great service.I am writing this email for my loving father,He lost his muscle of the left arm due to nervous damage but he can access his finger.He cannot raise his hand without help from the right hand.We already received consultations from many doctors but there is no result found ,We are from the village and of poor family origin ,I do not have much money to give good treatment to my father . so I ask you please recommend a proper treatment for my father .This is my kind request to save my father . for further details required please do not hesitate to contact me my email:-[Contact] My contact number :-[Contact] With many expectations, [NOMBRE]",What are the treatments for nerve damage in the arm?
I have been suffering from lichen planus since the last four years. At some point it reduces the red sign and at some point it increases and I cannot take spicy food or hot food. Could you please suggest the remedies. I had consulted the dermatologist as well. I gave ointment called taxol clone to apply to the reading area. Waiting for your valuable advice on this name. With good greetings. Sent from my iPad,What are the treatments for lichen planus?
"MESSAGE: Hello, I would like to know if the shortening of the legs can be done for a regular person as well, to simply reduce the total height of the body. Thank you!",Is leg shortening surgery performed to reduce body height?
"SUBJECT: My HDL reports show 29 .i need your additional suggestion.MESSAGE: I am 43 years old man.My HDL reports show 29 .i need your additional suggestion.It seems very low.I need to do your optimization, please",What are the treatments for low HDL cholesterol?
"THEME: Ingredients MESSAGE: Please Email me a list of 100%, all, of the ingredients iPerioMed, 63% flowery concentrate Oral rinse, rinse with alcohol. Thank you! [NOMBER]",What are the ingredients of PerioMed 63% fluoride concentrated oral rinse?
THEME: MESSAGE TRAQUEOMALATION: My Tracheomalacia is so widespread with a 90% block surgery that it is not an option. I wear o2 24/7 what will happen to me. It will get worse until I die please someone just be honest with me.,What is the prognosis for tracheomalacia?
"THEME: Renal amyloidosis - best treatment for my coustine MESSAGE: This is [NAME] living in [LOCALIZATION] . My prime biopsy report [NAME] suggested that you are suffering from ""renal amyloidosis."" You have a previous history of some hereditary diseases. PFA reports. Please review these reports and let me know what is the best possible treatment for your treatment.",What are the treatments for renal amyloidosis?
"SUBJECT: Intestinal evacuation message: for the second time today I have seen matter moving as in swimming on the surface of the water after a loose bowel movement. The first was small but today it was a larger chair or elongated mass moving on the surface of the toilet water still. I thought I was seeing things the first time, but this time I'm sure. What is this?",How are moving specimens in a loose bowel movement identified and treated?
"THEME: Is more information needed about polio MESSAGE: If it were possible to get polio and not have symptoms, it would not be possible to get post-polio syndrome today? How would the test be done? I think this information is needed on your site. Thank you.",How is post-polio syndrome diagnosed?
"MESSAGE: What are the latest news about tendonitis, or ringing in the ear, I am 75 years old and I have had buzzing in the ear since mid-5th. Thank you.",What is the latest research on tinnitis?
"THEME: Apraxia and Dyspraxia MESSAGE: What are the basic differences between apraxia and dyspraxia?I get different answers from different sources.It is suggested that apraxia is a motor coordination disability acquired by damage, head injury, stroke or brain injuries, while dyspraxia is hereditary.Another says that the difference is the absence of coordination (apraxia) versus a milder deterioration (dyspraxia).It is very confusing to try to solve everything.Thanks!",What are the differences between apraxia and dyspraxia?
"THEME: With regard to fallary diseases MESSAGE: Sir, my wife has been suffering from fallary disease in her right leg for 2 years, please show me the treatment. my contact is not. [CONTACT].",What are the treatments for filarial disease?
"Genetic test for the heart condition of IHHS. Is there a commercial genetic test for the heart condition of IHHS? My family suffers from this hereditary condition and I would like to know who is susceptible. If so, where could I do it in [LOCATION] Texas?",Where can I get genetic testing for IHSS in Texas?
THEME: Is it cause of hypermobility for DCD? MESSAGE: Can hypermobility cause developmental coordination disorder? Is there any peer-reviewed literature available exploring this topic?,Can hypermobility cause developmental coordination disorder? 
"SUBJECT: MESSAGE OF fluticasone: I was prescribed this medication for rhinitis, I used it as directed, when it ran out I stopped, that was only 7 days ago. Now, I have a terrible upper respiratory infection. Could fluticasone have caused this? How long is the person supposed to be taking fluticasone?","Where can I find information on fluticasone, includingusage and side effects?"
Fibrodysplasia Ossificans Progressive. I just received a new patient at the age of 3 years with the diagnosis Fibrodysplasia Ossificans Progressive. She has spent the last few months in [LOCALIZATION] and has returned to this country for financial reasons. I am one of the two pediatricians in the county and the closest pediatric specialist is between 1.5 and 3 hours away. I would like the specialists who are recommended for the condition and if OT or PT is useful for the patient.,"What are the treatments for fibrodysplasia ossificans progressiva, and how can I find physician(s) or hospital(s) who specialize in it?"
"MESSAGE: What if someone vomits blood just a little bit has a little light turned and just went to bed and went to sleep he said he's going to sleep outside, but I want to drink he told me I'm fine. What should I do",Should someone who vomited blood and  felt lightheaded go to sleep? 
"You can’t find a doctor. Hi, Looking at your site said you had doctors who treated phalangeal tricho rhinoceros syndrome. I looked in the directory, but I couldn’t find anyone. Am I looking at the right place is under something else? If you could please help me it would be great!",How can I find physician(s)  who specialize in trichorhinophalangeal syndrome?
MESSAGE: Hello I have a question regarding the chikenpox vaccine. My son is now 9 years old and received his first dose of the chikenpox vaccine in September 2007 and the second one was skipped then.So please guide me if my son can re-gey the vaccine once again.,Where can I find information on chickenpox vaccination schedules?
THEME: Treatment of Scientic Nerve Pain MESSAGE: I am from [LOCALIZATION].My older parent who suffers from sciatic nerve pain for a long time and his family members have already spent all of their savings funds for his treatment. Currently they are helpless and the patient is lying in bed. No one can help him recover.,What are the treatments for sciatica?
"My wife developed a very severe deep hoarse cough. She has asthma, but this is different. This cough is not a breathing problem. It has been going on for four months day and night. She has had all the possible tests, no diagnosis. Her Ct scan shows that her lungs are large. It could be conversion hysteria. She is always stressed by bills.",What are the symptoms of conversion hysteria?
"Many women who are reading this are excited to give you a chance. They think that their obese belly of diabetes could disappear, an answer to their horror to look at themselves in a mirror. You need to tell us the truth, especially you Dr. Oz!! Some of us just know that we can't take this without better advice and our ""primary doctors"" have no interest in making any discovery for their patients. I resent all this, being singularized. I want to lose my belly too, what do I do?","I want to lose my obese belly, what do I do?"
"SUBJECT: MESSAGE under the WBC: respected sir, humbly I want to say that you Thanx to make this website. I am [NAME] of [LOCALIZATION] and I want to help myself for you please help me sir that I am going to be great to me (so sorry sir my English is not so good) masturbation is my hobby is my taboo really sir now I am tired I want to change please sir give me some suggestions .... this is bad habit in my life but I am also a brilliant student since last year ..................... I am crying... sorry ...... please help me Mr. plzz rply me in my id... and wish me luck I know that you have a golden heart ....",What are techniques to stop masturbating?
"Thanks for your answer to my question about the MMR vaccine. I was born in 1942, I never had the 10-day measles, but I did have the 3-day measles, and had mumps as a child. A recent blood test indicated that I am not immune to rubella, so my doctor recommended me to get the MMR vaccine. In light of my age, etc., do you agree or do you think it is unnecessary or is there a separate vaccine for rubella? What is the measles that has begun to reappear?",Who should get the MMR vaccine?
"THEME: Can a 40-year-old have throat cancer... MESSAGE: I've had a lot of alcohol and a lot of drugs. Not a lot of fruits and vegetables. This year I've had strep twice and a sore throat with earaches. Antibiotics have taken 4 different types just this year. Rabid voice, very painful when swallowing.",What are the risk factors and symptoms of throat cancer?
THEME: Just a question MESSAGE: hello..I just want to ask... 1.How can aspirin affect the ear? 2.What is the cause of a sudden ringing in the ear? isn't it dangerous? tq.:),"What causes ringing in the ear, and can aspirin affect the ear?"
"THEME: C2657+2_2657+3INSA MESSAGE: My daughter has been diagnosed with FQ and this is one of her genetic mutations (the other is deltaf508. I am trying to find information about this genetic mutation, as I think it is quite rare and my consultant has very little information about it. I would appreciate it if you could provide any information about this genetic mutation.",Where can I find information on gene mutations in cystic fibrosis?
Trisomy 13. I had a trisomy 13 children's mosaic and now my sister-in-law has just been diagnosed with a trisomy pregnancy. Is it possible that both brothers could carry a translocation?,"Is trisomy 13 inherited, and what is the pattern?"
ClinicalTrials.gov - Question - specific study.My child is 17 years old who has omental paniculitis (Christian Weber disease) can help me suggest what this breakdown is and how do you care if you need I can send you the full detail,"Where can I find information on weber christian disease, including treatment for it?"
"TIM: Is a medicine finasterida for life? MESSAGE: Hello, I have been taking this medication for the last 7 years.I asked my family doctor, since I have difficulty in my sexual desire or intercourse, if I can stop taking it.She said it is for life.My psa in normal 0.71.What do you suggest?Thank you for your repeat.",Are there alternative treatments to finasteride for enlarged prostate?
THEME: Obese daughter MESSAGE: I am a mother of 5 children. My son has leukemia that is the youngest. My daughter is 12 years old and obese. I don't know where to go but I need professional help. my daughter has always suffered weight problems. while I deal with my 11-year-old son in [LOCALIZATION] im so scared of losing my daughter. She has already been suicidal and her grades are so bad. please need help. you can contact me at any time.,What resources are available for overweight children with suicidal behavior?
"THEME: Abscess in the lungs MESSAGE: Is the abscess in the lungs curable? My dad has surgery and found 2 abscesses in his lungs. After a week outside the surgery room, he developed fluid. The doctor is telling us that they can use the syringe to remove the fluid, nothing else can be done. There is a small bottle connected to his surgical area that is collecting fluid from the infection. Thanks for your response. My dad is 84 me.",What are the treatments for lung abscess?
THEME: MESSAGE OF Gastroesophageal reflux disease: Can germination be cured?I suffer from this disease for almost three years now.I have gone to many hospitals but still can't be cured.I have been given many omeprazole capsules.Please help me.,What are the treatments for GERD and can it be cured?
"THEME: Skin itching MESSAGE: At night, I have very bad itching at the bottom of my leg. Is this caused by any of my prescriptions?",What prescription drugs cause itching skin on legs?
I would like to know what exactly causes the Kidd virus. I was diagnosed with anti Kidd jk5 in 2009. I have had 4 abortions since then. The last one last April 30. I have seven live births without problems during my pregnancies. Please help me understand. I am looking forward to hearing from you. Thank you for your time.,What iare anti-Kidd antibodies and how can they efeect pregnancy?
"hearing loss due to Alports disease. If hearing loss is due to Alports disease, is hearing loss the same degree of both ears?",Where can I find information on hearing loss and Alports disease?
I have painful sores around my genitals... what could be... I really need an urgent response or talk to one of your consultants.,What causes genital sores?
"THEME: reason to deny the MESSAGE of the script: my dr. wrote a script for the lipowerm l patch, 5% for my neuropathy. I want to know why it refused and if there is a generic that I could get",Is there a generic version of lidoderm?
"THEME: OCCUPATE LIGHT MESSAGE: I had a black stain on my skin face that was formed because of the itching shin on it.This was formed a year earlier and I don't use any cream for it or I haven't contacted any doctor for it, but now I want to eliminate it as soon as possible, I'm from Hiderbad.What to do?",Where can I get help with a facial dark spot in Hyderabad?
THEME: MESSAGE OF jaundice: Can older babies have jaundice? What is the age range?,Can older infants get jaundice?
SUBJECT: Baby girl vaginal itching MESSAGE: My newborn is 9 weeks old and I noticed when I went to clean inside her vagina there was a bit of stain. Should I worry?,What are the causes of and treatment for newborn vaginal itching and spotting?
"THEME: Liquid nutrition without vitamin K MESSAGE: My mother (age 84) is often not hungry and would like to try one of those liquid foods, but her doctor told her not to take anything with vitamin K in it. I have looked at the labels of all those products and everyone has vitamin K in them. Any idea where to look? Thank you very much.",What nutritional drinks do not contain vitamin K?
ClinicalTrials.gov - Question - general information. My granddaughter was born with Klippel-Tranaunay syndrome... There is very little information about this. We are looking for current research and treatments available. She is 5 months old now and her leg seems to be more affected. We want to get your help as soon as possible to address the symptoms and treat her condition.,"What is the latest research on klippel-trenaunay syndrome, and what are the treatments for it?"
I need to fix my cross-eyed.,How to treat crossed eyes?
"THEME: Under platelet count MESSAGE: hello I am facing under platelet count in my blood ( ITP ) and I am taking therapy ( 1 pill Prednisone 2mg Morning - MyFortic 2 pills Morning - 2 pills Night ) I want to ask [NAME] MD, Professor of Medicine whether removing the spleen will cause something or if there is any side effect when removing it. and what is the cause of this ( ITP ) I have been in this 4 months and my platelet count is (70 000 - 140 000 - 65 000 - 90 000 ) did not reach the normal count. is this therapy good and will help? I just need some answers please. waiting to hear from you sincerely, [NAME]",What are the causes and best treatments for low platelet counts?
"Hepato B cure. I am the caregiver of a family member with hepatitis B. He is liver failure in the final stage, but he does not comply with the guidelines for a liver transplant due to a diagnosis of colon cancer in 2012. Colon cancer was successfully treated with colon resection. We were told by a previous doctor that there is an approved medication that ""cures"" hepatitis B. He emphasized that the new medication is a cure, not a treatment. I tried to find information in my own, in vain. I contacted NIH and was told to call the FDA. I had no response from the FDA re: messages left in 2013. Your website was useless. Can you help us. My family member is in final stage and if this doctor was accurate, this could help us tremendously. He is taking baracluse and xifaccin, as well as lactulose.",Is there a cure for hepatitis B?
Does anyone have any information about pain relief for Hirayama’s disease? My brother has had this disease for 10 years and when nerve endings are dying he is in unbearable pain and is not giving any pain relief for this other than morphine that does not help nervous pain. I appreciate that your consultant is doing everything possible with a disease that she knows little about but can someone please help or give advice or any information about pain relief for this disease. He is already at the highest dose of pregabalin but when he is bad nothing is helping for pain. Please any help or even anyone with any suggestion would be great filled.,Where can I find information on pain relief for Hirayama's disease?
Ostiogenesis Imperfect. Is it possible to remove any cause of this disease from a gene of people to stop this in my family.,How is Osteogenesis imperfecta inherited and is it possible to stop it?
MESSAGE: What is the latest research on the use of D-Limonene as a cancer treatment?,What is the latest research on D-Limonene as a treatment for skin cancer?
"THEME: ""ClinicalTrials.gov - Question - General Information "" MESSAGE: Please, I really need your answer and your help :(My wife has allergy to all dairy products and every time she drinks or eats anything contains little of any milk product she goes to the hospital. I have faith that there is a cure for that, but I really don't know what to tell her. She thinks it will never be cured. So please, can you tell me that there is some cure for allergy to dairy products, any cure? or any cure in the very near future? I will be very very grateful if you responded, Thank you very much. :)",What are the treatments for lactose intolerance and can it be cured?
SUBJECT: MESSAGE from Pentoxifyline: My husband mistakenly took a pack of 5 at the site of his morning medication. Is he in danger? Is there anything he should do? He just feels sick from his stomach.,What is the treatment for Pentoxifyline overdose?
"SUBJECT: CPTII Deficiency Message: My sister in Texas has just been diagnosed with CPTII deficiency today. We still don't know what variant. A year ago I was told that after her near death by rhabdo (CK's 150.000+), ATN, RF, respiratory compromise, to be tested for a metabolic error FA. Until today, I really had no idea what test to request. Her muscle bx was performed a few months ago as she was still ill last year. Another recurrence of rhado this year motivated bx (she is retired military). I don't know which branch of medicine to contact for genetic testing. From the NIH website, muscle bx is the most definitive. I also found a phone number for the Center for Genetic Information and Rare Diseases. Thank you for some address.",Where can I get genetic testing for CPTII deficiency?
"THEME: Acetaminophen inactive ingredients MESSAGE: My wife is seriously allergic to Titanium Dioxide. It is not listed in the inactive ingredients for Equate or Tylenol Acetaminophen on the package or page, but other sources on the Internet claim that it is used to cover tablets to make them easier to swallow. Are they coated with Titanium Dioxide and if so why not listed as an inactive ingredient? Thank you, [NAME]",Is titanium dioxide an inactive ingredient in Equate acetaminophen or Tylenol acetaminophen?
"THEME: MESSAGE OF Plaquenil: I was recently diagnosed with lupus. A few months earlier I had a terrible reaction to levofloxacin. My doctor wants to give me placenil. I worry, since this is in the quinolone family. Should I worry? Is it a quinolone medication?",What are the contraindications for plaquenil?
THEME: Liver cirrhosis asks MESSAGE: I have cirrhosis of the liver. Do high levels of ammonia affect breathing? I have spells of not being able to breathe very well. There is no pain.,Can high ammonia levels in the blood affect breathing?
